name,judicial_district,district_attorney
Acadia,15th,Donald D. Landry
Allen,33rd,Joe Green
Ascension,23rd,Ricky Babin
Assumption,23rd,Ricky Babin
Avoyelles,12th,"Charles A. Riddle, III"
Beauregard,36th,James R. Lestage
Bienville,2nd,Danny Newell
Bossier,26th,"John ""Schuyler"" Marvin"
Caddo,1st,"James E. Stewart, Sr."
Calcasieu,14th,Stephen Dwight
Caldwell,37th,Brian Frazier
Cameron,38th,"W. Thomas Barrett, III"
Catahoula,7th,Bradley R. Burget
Claiborne,2nd,Danny Newell
Concordia,7th,Bradley R. Burget
De Soto,42nd,Charles B. Adams
East Baton Rouge,19th,"Hillar C. Moore, III"
East Carroll,6th,James E. Paxton
East Feliciana,20th,Samuel C. D'Aquilla
Evangeline,13th,Trent Brignac
Franklin,5th,Penny Douciere
Grant,35th,"James ""Jay"" P. Lemoine"
Iberia,16th,M. Bofill (Bo) Duhé
Iberville,18th,Antonio M. Clayton
Jackson,2nd,Danny Newell
Jefferson,24th,"Paul D. Connick, Jr."
Jefferson Davis,31st,Elliott Cassidy
La Salle,28th,J. Reed Walters
Lafayette,15th,Donald D. Landry
Lafourche,17th,Kristine M. Russell
Lincoln,3rd,John F. Belton
Livingston,21st,Scott M. Perrilloux
Madison,6th,James E. Paxton
Morehouse,4th,Robert S. Tew
Natchitoches,10th,Billy Joe Harrington
Orleans,Civil District Court,Jason R. Williams
Ouachita,4th,Robert S. Tew
Plaquemines,25th,Charles J. Ballay
Pointe Coupee,18th,Antonio M. Clayton
Rapides,9th,"Phillip Terrell, Jr."
Red River,39th,Julie C. Jones
Richland,5th,Penny Douciere
Sabine,11th,Don M. Burkett
St. Bernard,34th,Perry M. Nicosia
St. Charles,29th,Joel T. Chaisson II
St. Helena,21st,Scott M. Perrilloux
St. James,23rd,Ricky Babin
St. John The Baptist,40th,Bridget A. Dinvaut
St. Landry,27th,Chad P. Pitre
St. Martin,16th,M. Bofill (Bo) Duhé
St. Mary,16th,M. Bofill (Bo) Duhé
St. Tammany,22nd,Warren Montgomery
Tangipahoa,21st,Scott M. Perrilloux
Tensas,6th,James E. Paxton
Terrebonne,32nd,"Joseph L. Waitz, Jr."
Union,3rd,John F. Belton
Vermilion,15th,Donald D. Landry
Vernon,30th,Terry Lambright
Washington,22nd,Warren Montgomery
Webster,26th,"John ""Schuyler"" Marvin"
West Baton Rouge,18th,Antonio M. Clayton
West Carroll,5th,Penny Douciere
West Feliciana,20th,Samuel C. D'Aquilla
Winn,8th,R. Chris Nevils
